Year,Population living in poverty (Million)
1963,2.36
1964,2.38
1965,1.94
1966,1.96
1967,1.98
1968,1.5
1969,1.01
1970,2.04
1971,1.55
1972,1.57
1973,1.59
1974,1.6
1975,1.07
1976,1.09
1977,1.1
1978,1.11
1979,1.12
1980,1.14
1981,1.15
1982,1.73
1983,1.17
1984,1.17
1985,1.18
1986,1.19
1987,1.21
1988,1.22
1989,1.23
1990,1.24
1991,1.26
1992,1.28
1993,1.3
1994,1.32
1995,1.33
1996,2.02
1997,2.04
1998,2.07
1999,2.09
2000,2.12
2001,2.14
2002,2.15
2003,2.89
2004,2.93
2005,2.95
2006,2.98
2007,3.01
2008,3.04
2009,3.07
2010,3.09
2011,3.11
2012,3.13
2013,3.15
2014,3.98
2015,4.01
2016,3.23
2017,4.06
2018,3.27
2019,3.28
2020,0.83
2021,0.83
2022,4.16
